,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-F-Actin,StdDev-F-Actin,Mode-F-Actin,Min-F-Actin,Max-F-Actin,XM-F-Actin,YM-F-Actin,IntDen-F-Actin,Median-F-Actin,RawIntDen-F-Actin
0,12.21,2.182,1.796,13.393,0.253,0.253,4.045,3.54,4.384,3.546,16.921,0.855,4.857,2.0,13.0,38.66,3.54,1.236,0.809,0.953,117.649,43.292,117.0,15.0,217.0,1.961,1.752,1435.755,123.0,22471.0,22.513,18.067,14.0,7.0,120.0,2.484,2.115,274.743,16.0,4300.0
1,17.836,9.035,1.299,21.842,5.057,0.253,9.355,2.528,9.554,2.377,5.604,0.47,9.628,20.0,10.0,13.671,2.528,4.02,0.249,0.949,133.28,44.241,144.0,13.0,237.0,8.885,1.305,2375.887,137.0,37185.0,24.839,20.285,13.0,4.0,149.0,9.198,1.349,442.783,18.0,6930.0
2,27.617,21.752,1.703,25.331,16.182,0.253,11.125,3.54,10.365,3.392,1.882,0.541,11.171,64.0,6.0,5.194,3.54,3.055,0.327,0.922,108.812,61.402,11.0,7.0,255.0,22.113,1.589,3003.451,115.0,47007.0,36.065,29.375,14.0,1.0,203.0,21.1,1.982,995.464,23.0,15580.0
3,1.982,36.071,0.844,5.747,34.892,0.253,2.276,1.264,2.496,1.011,165.593,0.754,2.49,138.0,1.0,156.038,1.19,2.469,0.405,0.838,19.581,4.145,19.0,13.0,33.0,36.072,0.846,38.783,19.0,607.0,74.613,34.648,136.0,24.0,136.0,35.969,0.782,147.786,68.0,2313.0
4,33.754,51.442,2.439,24.912,46.776,0.253,9.355,4.804,9.508,4.52,2.418,0.683,10.002,185.0,15.0,20.726,4.762,2.104,0.475,0.93,95.326,59.331,10.0,7.0,254.0,51.652,2.253,3215.898,97.0,50332.0,39.348,38.287,16.0,6.0,250.0,51.002,2.63,1327.455,24.0,20776.0
5,3.9,65.107,0.955,8.719,63.21,0.253,3.54,1.264,3.911,1.269,4.15,0.645,3.759,250.0,6.0,19.654,1.264,3.081,0.325,0.938,10.787,3.307,11.0,3.0,20.0,64.965,0.968,42.042,11.0,658.0,51.082,18.348,40.0,31.0,105.0,65.089,0.978,199.093,44.0,3116.0
6,44.622,73.375,2.319,29.524,67.509,0.253,11.884,4.804,11.379,4.993,0.378,0.643,12.015,267.0,8.0,8.471,4.804,2.279,0.439,0.942,147.352,52.863,255.0,9.0,255.0,73.353,2.254,6571.594,144.0,102852.0,20.082,16.806,15.0,3.0,165.0,73.07,2.522,895.598,16.0,14017.0
7,8.247,94.666,0.726,18.833,90.264,0.253,8.849,1.011,9.528,1.102,0.096,0.292,8.882,357.0,1.0,175.101,1.011,8.646,0.116,0.959,77.953,37.26,107.0,12.0,137.0,94.289,0.703,642.515,84.0,10056.0,35.86,28.188,22.0,16.0,244.0,94.106,0.767,295.572,29.0,4626.0
8,4.475,101.967,0.878,9.138,100.125,0.253,3.793,1.517,3.768,1.512,1.918,0.673,3.868,396.0,1.0,168.69,1.517,2.492,0.401,0.927,148.129,35.508,158.0,85.0,230.0,102.018,0.93,662.514,155.0,10369.0,26.214,17.146,18.0,10.0,85.0,101.734,0.907,117.245,20.0,1835.0
9,5.05,111.546,0.872,10.15,109.48,0.253,4.298,1.517,4.323,1.488,2.357,0.616,4.365,433.0,1.0,169.992,1.517,2.906,0.344,0.924,119.367,60.3,108.0,16.0,252.0,111.789,0.743,602.518,116.0,9430.0,25.734,9.952,23.0,6.0,60.0,111.472,0.979,129.896,23.0,2033.0
10,19.498,120.957,1.706,19.472,117.066,0.253,7.838,4.045,6.756,3.675,1.261,0.646,7.875,463.0,1.0,174.472,4.045,1.839,0.544,0.931,123.203,51.846,106.0,9.0,253.0,120.994,1.82,2400.933,122.0,37577.0,26.439,20.141,14.0,7.0,166.0,120.632,1.873,515.239,20.0,8064.0
11,2.429,128.177,0.805,6.191,126.926,0.253,2.276,1.264,2.488,1.243,169.752,0.796,2.603,502.0,1.0,150.945,1.264,2.001,0.5,0.938,152.553,19.022,149.0,104.0,195.0,128.176,0.801,370.392,149.0,5797.0,31.947,14.239,23.0,13.0,88.0,127.944,0.82,77.567,30.0,1214.0
12,34.905,42.033,3.301,23.701,37.673,0.506,8.344,6.321,7.805,5.694,12.548,0.781,8.405,149.0,7.0,173.089,6.171,1.371,0.729,0.909,122.458,67.832,11.0,4.0,254.0,41.995,3.728,4272.06,133.0,66862.0,37.877,35.023,19.0,7.0,211.0,42.033,2.614,1321.386,24.0,20681.0
13,14.192,59.159,1.895,16.698,56.131,0.506,6.321,3.287,6.52,2.771,16.334,0.64,7.012,222.0,15.0,25.641,3.16,2.353,0.425,0.927,21.365,5.493,20.0,9.0,35.0,59.05,2.024,303.048,22.0,4743.0,46.545,26.491,37.0,13.0,214.0,58.906,1.76,660.214,41.0,10333.0
14,52.23,83.237,3.594,29.116,78.128,0.506,10.619,6.827,10.605,6.27,19.788,0.774,11.554,309.0,22.0,23.199,6.827,1.691,0.591,0.947,146.266,50.366,147.0,12.0,255.0,83.126,3.525,7635.233,151.0,119499.0,26.251,22.844,14.0,3.0,196.0,83.345,3.608,1370.328,18.0,21447.0
15,38.805,105.8,3.76,24.835,101.137,0.506,9.102,6.574,8.718,5.667,13.568,0.791,9.447,400.0,20.0,15.524,6.156,1.538,0.65,0.916,108.748,43.535,118.0,10.0,236.0,105.846,3.914,4217.623,115.0,66010.0,24.143,21.356,15.0,3.0,161.0,105.412,3.364,936.362,17.0,14655.0
16,68.276,31.362,4.738,34.418,24.526,1.011,13.653,7.332,12.666,6.863,2.699,0.724,13.768,97.0,15.0,172.614,7.332,1.845,0.542,0.922,130.092,66.956,154.0,6.0,255.0,31.178,5.024,8877.262,139.0,138938.0,28.846,29.015,13.0,3.0,208.0,31.241,4.191,1968.437,18.0,30808.0
17,61.436,112.584,5.917,36.834,105.688,1.011,13.401,9.608,14.045,5.57,32.341,0.569,14.817,418.0,41.0,25.253,6.841,2.522,0.397,0.832,113.023,64.364,11.0,4.0,255.0,112.841,5.759,6939.814,115.0,108615.0,26.48,26.098,13.0,4.0,196.0,112.011,5.698,1625.903,17.0,25447.0
18,34.394,125.67,4.915,22.925,121.617,1.517,7.585,6.321,7.891,5.549,24.005,0.822,8.416,483.0,29.0,32.735,6.042,1.422,0.703,0.926,122.736,53.641,114.0,5.0,252.0,125.963,4.805,4219.029,120.0,66032.0,26.082,28.721,15.0,4.0,239.0,124.774,4.8,896.556,17.0,14032.0
19,54.595,10.956,5.217,33.642,3.54,1.77,13.148,6.827,11.865,5.859,4.7,0.606,13.235,14.0,18.0,6.582,6.339,2.025,0.494,0.854,147.311,67.768,255.0,3.0,255.0,11.265,5.368,8038.083,158.0,125804.0,23.669,22.45,13.0,3.0,179.0,10.965,4.744,1291.483,16.0,20213.0
20,43.919,94.748,3.946,29.795,88.747,1.77,11.884,5.057,11.823,4.73,1.048,0.622,12.099,351.0,18.0,10.84,5.057,2.5,0.4,0.909,85.785,37.301,79.0,8.0,190.0,94.726,4.154,3765.511,87.0,58934.0,26.518,21.394,15.0,5.0,158.0,94.4,3.712,1164.015,18.0,18218.0
21,56.897,62.63,5.37,34.173,54.867,2.276,14.412,5.563,14.215,5.096,6.054,0.612,14.447,217.0,19.0,175.986,5.508,2.789,0.359,0.905,100.119,51.173,110.0,6.0,255.0,63.615,5.41,5693.312,109.0,89106.0,28.578,25.876,13.0,2.0,208.0,61.88,5.289,1625.072,20.0,25434.0
22,44.942,20.793,7.026,27.686,16.182,3.54,10.114,6.321,10.029,5.705,174.913,0.737,10.267,64.0,26.0,170.074,6.321,1.758,0.569,0.911,103.304,47.701,131.0,4.0,244.0,20.558,6.951,4640.152,109.0,72623.0,33.851,29.124,14.0,3.0,175.0,20.866,6.813,1520.478,22.0,23797.0
23,29.279,46.414,7.315,22.69,42.73,4.551,8.344,5.815,8.651,4.309,28.373,0.715,9.328,171.0,41.0,32.829,4.587,2.007,0.498,0.928,150.461,54.334,140.0,11.0,255.0,46.374,7.228,4402.979,154.0,68911.0,24.557,20.258,14.0,4.0,164.0,46.532,6.986,718.612,18.0,11247.0
24,28.001,3.675,7.931,22.062,0.253,4.804,7.585,5.815,8.211,4.342,155.641,0.723,8.63,1.0,23.0,148.173,4.946,1.891,0.529,0.918,108.021,62.97,10.0,8.0,255.0,3.104,7.535,3023.002,112.0,47313.0,27.989,28.469,13.0,4.0,230.0,3.794,7.709,783.273,18.0,12259.0
25,75.053,86.989,9.591,38.106,80.151,5.31,14.412,8.344,14.483,6.598,13.644,0.65,14.885,319.0,51.0,20.898,7.277,2.195,0.456,0.898,130.915,64.135,155.0,3.0,255.0,86.36,9.745,9820.078,140.0,153694.0,29.76,24.934,13.0,3.0,211.0,86.88,9.233,2232.318,21.0,34938.0
26,21.608,118.554,8.281,18.522,115.296,5.31,6.068,5.563,6.499,4.234,35.186,0.792,6.878,456.0,38.0,36.027,4.581,1.535,0.651,0.921,132.219,48.606,134.0,6.0,255.0,118.304,8.538,2855.409,135.0,44690.0,24.414,19.923,13.0,6.0,141.0,118.79,7.873,527.251,18.0,8252.0
27,59.134,73.813,8.637,31.557,67.762,5.563,12.136,6.321,12.022,6.263,2.586,0.746,12.304,268.0,39.0,9.462,6.246,1.92,0.521,0.927,72.24,54.49,8.0,3.0,237.0,72.634,8.466,4269.505,79.0,66822.0,34.943,30.123,14.0,4.0,230.0,73.711,8.769,2065.172,23.0,32322.0
28,52.741,50.487,10.382,33.555,43.489,5.815,12.389,7.838,12.66,5.304,26.431,0.589,13.114,172.0,49.0,19.134,6.523,2.387,0.419,0.819,113.37,63.583,8.0,4.0,251.0,51.211,10.21,5975.977,132.0,93530.0,31.624,27.64,14.0,3.0,206.0,49.921,10.371,1666.987,20.0,26090.0
29,36.439,100.3,8.517,25.392,95.321,5.815,9.608,5.31,9.803,4.733,176.471,0.71,9.874,377.0,30.0,166.675,5.128,2.071,0.483,0.931,103.0,50.632,99.0,6.0,223.0,100.172,8.694,3751.199,105.0,58710.0,24.165,18.066,13.0,2.0,125.0,100.06,8.473,880.072,18.0,13774.0
30,36.056,38.545,9.474,24.355,33.881,6.321,8.597,6.321,8.3,5.531,166.286,0.764,9.116,134.0,34.0,160.56,5.891,1.501,0.666,0.915,121.534,64.64,149.0,4.0,255.0,38.831,9.598,4379.593,124.0,68545.0,31.073,23.324,14.0,6.0,156.0,38.188,9.592,1119.737,22.0,17525.0
31,40.019,124.811,10.829,26.674,120.1,7.585,9.102,6.574,9.589,5.314,17.537,0.707,10.177,475.0,48.0,26.565,6.015,1.805,0.554,0.877,92.291,42.965,14.0,7.0,202.0,125.042,10.608,3691.394,99.0,57774.0,28.045,30.32,13.0,3.0,221.0,124.448,11.601,1121.718,17.0,17556.0
32,31.901,12.637,11.155,23.073,8.344,8.344,8.091,5.815,7.737,5.25,5.527,0.753,8.232,33.0,44.0,10.62,5.676,1.474,0.679,0.892,122.269,52.05,111.0,11.0,253.0,12.643,11.127,3898.282,123.0,61012.0,33.768,23.679,18.0,9.0,207.0,12.461,11.013,1076.609,28.0,16850.0
33,22.311,61.68,9.642,24.641,56.637,8.344,10.367,3.034,10.039,2.83,4.012,0.462,10.477,224.0,33.0,171.674,3.034,3.548,0.282,0.862,100.281,52.291,99.0,5.0,247.0,61.787,9.695,2236.152,103.0,34998.0,31.238,19.379,19.0,6.0,140.0,61.813,9.499,696.569,26.0,10902.0
34,21.864,29.585,10.659,19.916,26.043,8.849,7.585,4.298,7.171,3.882,1.953,0.693,7.789,103.0,37.0,166.866,4.298,1.847,0.541,0.888,64.146,45.87,11.0,7.0,230.0,29.588,11.034,1401.7,65.0,21938.0,43.716,32.255,16.0,9.0,214.0,29.389,10.429,955.275,35.0,14951.0
35,58.942,113.955,13.182,34.382,107.963,9.861,13.401,6.574,12.784,5.87,173.711,0.627,13.998,427.0,44.0,163.202,6.574,2.178,0.459,0.879,123.074,58.039,122.0,5.0,255.0,113.459,13.206,7250.273,129.0,113474.0,21.892,17.5,14.0,3.0,129.0,114.341,13.159,1289.63,15.0,20184.0
