,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-F-Actin,StdDev-F-Actin,Mode-F-Actin,Min-F-Actin,Max-F-Actin,XM-F-Actin,YM-F-Actin,IntDen-F-Actin,Median-F-Actin,RawIntDen-F-Actin
0,17.453,6.962,1.473,18.782,3.034,0.253,7.838,3.034,7.458,2.979,0.66,0.622,7.875,12.0,1.0,174.472,3.034,2.503,0.399,0.946,101.044,37.171,110.0,23.0,218.0,6.759,1.41,1762.508,100.0,27585.0,16.128,12.121,9.0,2.0,82.0,7.44,1.71,281.324,13.0,4403.0
1,3.005,13.844,0.718,7.708,12.136,0.253,3.287,1.011,3.554,1.077,177.93,0.636,3.373,48.0,1.0,167.005,1.011,3.301,0.303,0.949,81.447,33.559,47.0,27.0,162.0,13.807,0.644,244.585,82.0,3828.0,16.0,8.745,11.0,6.0,39.0,13.512,0.744,48.048,13.0,752.0
2,4.219,36.57,0.739,10.446,34.386,0.253,4.551,1.264,4.642,1.157,1.811,0.486,4.614,136.0,1.0,170.538,1.264,4.01,0.249,0.868,118.47,36.094,119.0,24.0,208.0,36.747,0.677,499.585,129.0,7819.0,14.97,7.058,14.0,5.0,42.0,36.498,0.84,63.127,14.0,988.0
3,2.301,43.742,0.632,6.993,42.225,0.253,3.034,0.759,3.424,0.856,0.0,0.591,3.127,167.0,1.0,165.964,0.759,4.0,0.25,1.0,115.222,57.095,147.0,10.0,188.0,43.389,0.596,265.031,143.0,4148.0,19.556,9.425,18.0,6.0,52.0,43.891,0.692,44.981,18.0,704.0
4,7.096,60.127,0.978,12.678,57.142,0.253,5.31,1.77,5.297,1.706,174.21,0.555,5.405,226.0,1.0,169.216,1.77,3.106,0.322,0.91,61.703,43.426,17.0,6.0,148.0,60.387,0.761,437.608,54.0,6849.0,31.054,23.298,11.0,5.0,116.0,60.037,1.215,220.242,23.0,3447.0
5,23.973,66.495,2.106,22.383,61.946,0.253,9.102,3.54,8.83,3.457,3.69,0.601,9.134,245.0,11.0,175.236,3.503,2.554,0.391,0.885,73.112,40.625,87.0,5.0,195.0,67.252,1.887,1751.773,82.0,27417.0,23.336,20.718,9.0,1.0,124.0,65.894,2.537,559.134,15.0,8751.0
6,25.06,75.68,1.709,23.42,70.796,0.253,9.608,3.034,9.873,3.232,176.753,0.574,10.076,280.0,1.0,162.474,3.034,3.055,0.327,0.93,119.974,51.233,123.0,12.0,237.0,75.42,1.525,3004.921,130.0,47030.0,13.819,13.673,7.0,1.0,95.0,75.197,2.077,346.112,10.0,5417.0
7,34.649,85.254,3.194,24.442,80.656,0.253,8.597,6.068,9.551,4.619,150.051,0.729,10.239,319.0,1.0,147.095,5.167,2.068,0.484,0.908,98.185,51.347,15.0,9.0,233.0,84.705,2.821,3400.167,106.0,53216.0,18.454,18.826,10.0,2.0,116.0,85.622,3.881,639.065,12.0,10002.0
8,6.904,90.103,0.925,12.887,87.483,0.253,5.563,1.77,5.364,1.639,2.502,0.522,5.614,346.0,1.0,172.235,1.77,3.273,0.306,0.904,104.481,37.863,107.0,14.0,196.0,89.921,0.884,720.976,109.0,11284.0,11.398,5.931,10.0,1.0,37.0,90.041,1.07,78.653,10.0,1231.0
9,4.091,100.702,0.687,10.742,98.355,0.253,4.804,1.011,5.156,1.01,0.84,0.446,4.864,389.0,1.0,171.027,1.011,5.103,0.196,0.914,30.234,7.706,33.0,18.0,50.0,100.432,0.666,123.634,30.0,1935.0,28.25,10.979,21.0,12.0,61.0,100.678,0.742,115.52,26.0,1808.0
10,12.978,109.753,0.975,20.473,105.182,0.253,9.355,1.77,9.673,1.708,0.662,0.389,9.386,416.0,1.0,175.365,1.77,5.663,0.177,0.914,43.729,17.217,44.0,12.0,84.0,109.539,0.964,567.184,44.0,8877.0,16.956,7.67,12.0,2.0,40.0,109.55,1.075,219.922,15.0,3442.0
11,1.151,118.836,0.632,3.959,118.077,0.253,1.517,0.759,1.712,0.856,0.0,0.923,1.696,467.0,1.0,153.435,0.759,2.0,0.5,1.0,53.833,19.651,69.0,23.0,82.0,118.7,0.588,61.913,62.0,969.0,28.389,12.31,24.0,14.0,66.0,118.889,0.681,32.65,27.0,511.0
