,P7,P28,P70
0,42.832,49.609,58.111
1,37.015,41.682,40.659
2,41.042,38.613,37.59
3,73.071,32.668,76.523
4,15.215,29.088,42.577
5,2.941,39.444,67.637
6,31.133,29.343,6.585
7,5.178,25.124,33.946
8,5.178,17.772,70.066
9,56.897,43.6,62.714
10,1.47,44.878,18.603
11,26.083,29.983,72.751
12,31.197,29.855,74.541
13,33.435,43.344,44.303
14,33.691,79.208,33.946
15,28.768,29.919,38.933
16,49.865,30.366,56.193
17,44.431,39.636,24.868
18,5.818,7.416,36.631
19,10.676,29.088,69.682
20,1.343,22.695,41.17
21,40.339,37.207,43.088
22,28.896,3.196,21.8
23,79.336,42.065,29.088
24,32.987,44.558,56.066
25,29.216,33.307,38.805
26,36.823,29.471,39.188
27,22.567,34.522,59.774
28,45.262,45.198,30.814
29,45.326,63.29,58.815
30,3.26,1.215,33.179
31,27.489,20.074,9.909
32,36.631,35.353,20.457
33,31.325,22.439,69.299
34,27.362,47.18,53.317
35,38.229,37.015,46.029
36,52.869,67.829,47.691
37,1.406,24.293,74.797
38,46.732,32.412,31.709
39,15.471,32.987,49.161
40,59.518,24.677,45.773
41,55.618,32.284,47.755
42,23.845,16.366,6.201
43,44.878,43.344,70.833
44,1.023,37.782,73.007
45,42.449,61.564,43.152
46,41.809,36.695,54.02
47,27.489,2.174,76.459
48,60.477,77.162,50.184
49,43.408,4.155,44.303
50,128.945,12.274,45.773
51,29.407,62.65,48.842
52,40.083,36.503,2.429
53,38.549,45.581,43.6
54,23.526,60.349,15.087
55,55.746,13.233,59.646
56,77.226,3.388,62.267
57,41.554,11.955,22.183
58,48.522,33.435,70.002
59,35.481,62.778,26.722
60,33.115,21.16,92.825
61,40.851,15.918,52.741
62,54.34,34.074,118.013
63,35.353,26.722,86.176
64,25.124,38.229,8.119
65,13.425,38.741,65.08
66,41.809,10.101,6.713
67,93.4,63.737,54.659
68,34.713,15.023,13.297
69,36.759,36.823,48.714
70,2.749,34.074,51.015
71,36.439,32.923,37.526
72,72.879,38.102,52.166
73,15.023,52.613,40.083
74,8.183,2.11,30.43
75,55.107,31.261,37.782
76,40.019,35.672,16.813
77,39.188,6.393,6.329
78,26.339,40.659,52.933
79,36.695,38.997,83.619
80,30.814,0.959,24.74
81,43.6,26.275,56.897
82,26.339,50.696,14.512
83,16.622,38.549,15.279
84,39.252,25.955,66.358
85,4.028,22.439,69.299
86,22.119,8.247,50.696
87,1.023,7.288,33.435
88,29.855,55.235,72.431
