 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AF8-DAPI,StdDev+AF8-DAPI,Mode+AF8-DAPI,Min+AF8-DAPI,Max+AF8-DAPI,XM+AF8-DAPI,YM+AF8-DAPI,IntDen+AF8-DAPI,Median+AF8-DAPI,RawIntDen+AF8-DAPI,Mean+AF8-Sox2,StdDev+AF8-Sox2,Mode+AF8-Sox2,Min+AF8-Sox2,Max+AF8-Sox2,XM+AF8-Sox2,YM+AF8-Sox2,IntDen+AF8-Sox2,Median+AF8-Sox2,RawIntDen+AF8-Sox2,Mean+AF8-Klf4,StdDev+AF8-Klf4,Mode+AF8-Klf4,Min+AF8-Klf4,Max+AF8-Klf4,XM+AF8-Klf4,YM+AF8-Klf4,IntDen+AF8-Klf4,Median+AF8-Klf4,RawIntDen+AF8-Klf4,Mean+AF8-Sox9,StdDev+AF8-Sox9,Mode+AF8-Sox9,Min+AF8-Sox9,Max+AF8-Sox9,XM+AF8-Sox9,YM+AF8-Sox9,IntDen+AF8-Sox9,Median+AF8-Sox9,RawIntDen+AF8-Sox9
1,16.675,4.666,127.021,16.141,2.399,129.164,4.293,4.924,5.167,4.109,123.424,0.804,6.035,2.651,0.126,127.349,4.293,1.258,0.795,0.954,135.879,21.157,135,75,239,4.71,127.007,2265.753,134,142129,36.22,9.441,42,15,69,4.589,126.985,603.961,36,37886,1.998,2.109,0,0,19,4.494,127.091,33.318,1,2090,38.913,12.687,42,10,87,4.608,126.928,648.868,38,40703
2,7.891,19.782,128.267,12.052,17.424,129.164,4.545,2.02,4.767,2.108,177.149,0.683,4.643,17.424,0,157.62,2.02,2.262,0.442,0.96,142.693,26.518,154,76,245,19.826,128.304,1125.998,144,70633,25.242,5.123,27,14,44,19.783,128.244,199.189,25,12495,1.345,2.05,0,0,14,20.028,128.24,10.617,1,666,27.232,8.778,24,11,110,19.738,128.268,214.892,26,13480
3,14.204,24.191,127.065,14.312,22.222,129.164,3.914,4.167,4.532,3.991,106.53,0.871,5.05,22.727,0,126.87,3.914,1.136,0.881,0.965,156.122,39.402,149,66,251,24.154,127.144,2217.546,158,139105,28.551,8.604,20,12,57,24.062,127.116,405.537,27,25439,1.319,1.699,0,0,20,24.305,127.028,18.731,1,1175,29.09,11.398,24,7,62,24.025,127.126,413.188,27,25919
4,8.321,32.604,128.081,11.591,30.681,129.164,3.914,2.399,4.207,2.519,1.981,0.778,4.293,30.807,2.02,28.072,2.399,1.67,0.599,0.967,141.772,31.624,126,80,234,32.644,128.14,1179.753,143,74005,30.642,5.546,27,15,49,32.595,128.07,254.985,30,15995,2,1.966,0,0,11,32.538,128.093,16.643,2,1044,29.011,9.686,27,12,77,32.785,128.075,241.419,28,15144
5,20.007,37.267,126.602,17.809,34.721,129.164,5.555,4.924,5.72,4.453,143.481,0.793,6.45,35.226,0.126,139.764,4.693,1.285,0.778,0.926,147.931,29.915,160,62,222,37.205,126.532,2959.593,150,185653,31.395,8.03,27,15,63,37.266,126.69,628.112,30,39401,1.888,1.99,0,0,20,37.111,126.72,37.765,1,2369,33.648,11.902,25,12,94,37.227,126.659,673.179,31,42228
6,8.879,42.802,128.023,12.07,40.782,129.164,4.293,2.778,4.058,2.786,7.564,0.766,4.441,40.782,1.136,14.826,2.778,1.456,0.687,0.942,133.607,21.775,138,73,193,42.866,128.061,1186.353,138,74419,26.49,6.797,20,12,47,42.79,128.075,235.217,26,14755,1.758,1.821,0,0,10,42.599,128.033,15.607,1,979,38.127,16.712,30,17,168,42.845,128.051,338.55,34,21237
7,6.839,50.237,128.187,10.925,47.979,129.164,4.04,2.273,4.19,2.078,163.331,0.72,4.41,47.979,0,156.371,2.273,2.016,0.496,0.937,120.676,14.993,128,79,161,50.204,128.214,825.293,122,51770,29.58,7.528,27,15,48,50.156,128.245,202.298,29,12690,1.594,1.62,0,0,9,50.341,128.17,10.904,1,684,49.587,14.145,53,22,94,50.102,128.235,339.124,49,21273
8,27.212,59.612,126.968,20.373,56.312,129.164,6.439,4.672,6.792,5.102,174.986,0.824,7.147,56.312,0.126,147.995,4.672,1.331,0.751,0.982,122.133,25.339,114,58,221,59.481,126.993,3323.506,117,208481,28.419,7.15,27,12,49,59.703,127.015,773.339,28,48511,6.747,5.001,5,0,35,59.755,127.11,183.599,6,11517,24.441,8.831,22,7,86,59.732,126.994,665.097,23,41721
9,45.019,67.031,125.845,26.217,63.635,129.164,7.071,7.323,7.855,7.297,61.937,0.823,8.956,63.887,5.808,40.426,7.071,1.076,0.929,0.975,118.927,24.251,112,47,209,66.861,125.899,5353.946,117,335849,27.431,6.418,27,10,49,67.102,125.945,1234.91,27,77465,2.687,3.255,0,0,61,66.88,126.149,120.964,2,7588,29.777,11.015,25,6,106,67.069,125.951,1340.523,29,84090
10,6.855,120.348,128.445,12.601,117.674,129.164,5.303,1.515,5.624,1.552,1.904,0.543,5.398,117.674,1.01,10.784,1.515,3.624,0.276,0.951,165.202,30.915,153,83,251,120.427,128.479,1132.438,164,71037,29.091,5.124,27,17,47,120.357,128.447,199.413,29,12509,2.228,2.438,0,0,22,119.776,128.405,15.272,2,958,44.467,12.982,35,20,93,120.134,128.41,304.818,41,19121
11,14.858,12.763,127.215,15.07,10.48,129.037,4.419,4.04,4.454,4.247,136.689,0.822,5.19,10.48,0.126,131.055,4.04,1.049,0.954,0.964,141.693,30.71,139,67,219,12.815,127.243,2105.206,142,132058,38.608,12.618,27,14,90,12.668,127.293,573.624,36,35983,1.693,2.028,0,0,15,12.825,127.369,25.156,1,1578,47.643,20.296,29,17,171,12.595,127.279,707.852,43,44403
12,17.217,86.991,127.359,17.077,83.836,129.037,5.682,4.04,6.01,3.648,159.057,0.742,6.562,83.836,0.126,149.982,4.04,1.648,0.607,0.957,127.064,24.826,119,73,231,86.985,127.449,2187.64,127,137229,40.662,13.759,27,15,86,86.958,127.383,700.072,39,43915,1.997,3.567,0,0,47,87.33,127.019,34.386,1,2157,29.985,14.021,24,6,157,87.058,127.223,516.25,28,32384
13,7.237,93.268,127.865,10.568,91.665,129.037,3.283,2.778,3.245,2.84,1.389,0.814,3.616,91.665,1.641,24.775,2.778,1.142,0.875,0.959,118.934,32.574,78,63,213,93.229,127.931,860.779,117,53996,31.068,10.662,25,13,66,93.286,127.965,224.855,27,14105,2.088,2.176,0,0,17,93.356,127.773,15.113,2,948,21.639,10.059,17,7,76,93.343,127.937,156.61,19,9824
14,6.169,112.346,127.769,9.78,110.856,129.037,2.778,2.778,3.335,2.355,128.538,0.811,3.754,110.856,0.126,132.274,2.667,1.416,0.706,0.949,105.891,24.812,127,54,158,112.367,127.832,653.284,106,40980,21.527,5.277,20,10,41,112.31,127.86,132.809,20,8331,1.026,1.331,0,0,9,112.141,127.863,6.329,1,397,18.413,6.203,22,6,39,112.315,127.899,113.599,18,7126
15,21.362,126.455,126.901,17.6,123.356,129.037,5.934,4.419,6.311,4.31,162.877,0.867,6.39,123.735,0.505,150.396,4.391,1.464,0.683,0.966,136.637,22.651,137,62,202,126.431,127.007,2918.798,136,183094,41.952,10.584,34,14,76,126.342,127.001,896.169,41,56216,2.235,2.088,1,0,14,126.146,127.066,47.745,2,2995,49.451,21.241,26,13,209,126.1,126.983,1056.365,47,66265
16,32.808,74.382,124.516,23.992,71.716,128.785,5.808,8.333,9.123,4.579,111.856,0.716,9.321,72.978,0.379,118.301,4.779,1.992,0.502,0.932,142.493,36.09,166,51,234,74.458,124.369,4674.869,146,293251,28.423,6.727,27,12,55,74.266,124.616,932.484,27,58494,1.36,1.588,0,0,12,74.29,124.482,44.604,1,2798,23.788,7.989,21,8,87,74.354,124.532,780.418,23,48955
17,19.449,54.438,124.658,20.452,52.524,128.659,3.409,8.333,8.502,2.912,99.806,0.584,8.546,53.913,0.505,102.804,3.227,2.919,0.343,0.934,128.418,30.902,137,60,224,54.45,124.682,2497.559,130,156670,30.435,8.267,27,13,64,54.352,124.677,591.925,29,37131,1.706,2.064,0,0,28,54.403,124.654,33.174,1,2081,49.145,15.928,44,17,111,54.33,124.72,955.806,47,59957
18,30.464,46.699,124.784,20.666,43.686,127.901,6.06,6.566,6.607,5.871,92.352,0.896,6.799,45.454,1.263,105.068,6.02,1.125,0.889,0.97,143.248,25.243,148,69,223,46.769,124.807,4363.946,142,273747,27.34,6.142,27,13,49,46.61,124.844,832.897,27,52247,1.485,1.899,0,0,17,46.614,124.573,45.226,1,2837,24.127,7.564,18,9,56,46.724,124.904,735.016,23,46107
19,35.613,120.187,124.527,23.383,116.79,127.775,6.818,6.818,7.582,5.981,143.008,0.819,8.384,117.043,1.389,127.042,6.185,1.268,0.789,0.959,143.756,26.711,146,63,241,120.262,124.448,5119.622,143,321150,31.99,7.594,27,14,61,120.103,124.514,1139.277,31,71466,2.651,2.593,1,0,27,119.952,124.619,94.422,2,5923,61.487,21.15,50,18,166,120.016,124.452,2189.76,60,137362
20,18.141,8.386,123.752,20.391,7.071,127.649,2.904,8.459,8.711,2.652,90.914,0.548,8.594,7.323,1.515,100.154,2.904,3.285,0.304,0.921,130.938,26.4,145,56,225,8.356,123.763,2375.415,133,149008,34.201,9.382,27,15,66,8.29,123.716,620.46,33,38921,1.737,2.09,0,0,18,8.448,123.686,31.516,1,1977,28.898,9.586,27,9,95,8.353,123.426,524.253,28,32886
