 ,Area,X,Y,Perim,BX,BY,Width,Height,Major,Minor,Angle,Circ,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
1,5.771,1.692,128.298,9.749,0,129.167,3.409,2.02,3.604,2.039,179.121,0.763,3.731,0,1.515,23.962,2.02,1.768,0.566,0.963,47.326,23.081,30,22,118,1.34,128.404,273.122,37,17132,8.13,9.835,3,0,57,1.053,128.545,46.918,5,2943,1.61,3.3,0,0,23,0.921,128.678,9.294,0,583,20.409,10.336,15,6,78,1.556,128.326,117.781,19,7388
2,12.036,11.877,128.099,14.861,8.965,129.167,5.808,2.399,6.142,2.495,179.768,0.685,5.972,8.965,0,166.551,2.399,2.462,0.406,0.967,115.248,34.86,127,47,229,11.683,128.123,1387.164,116,87012,44.265,32.332,13,4,145,11.556,128.356,532.789,32,33420,2.722,4.027,0,0,32,11.328,128.379,32.761,1,2055,28.061,11.217,21,9,88,11.737,128.165,337.752,26,21186
3,20.645,41.464,126.309,19.182,38.384,129.167,6.313,5.682,7.739,3.397,142.671,0.705,7.686,38.636,0.126,137.663,3.535,2.279,0.439,0.921,127.068,30.965,119,62,248,41.42,126.26,2623.339,121,164553,53.675,27.897,13,2,149,41.449,126.516,1108.127,54,69509,22.556,16.803,2,0,78,41.478,126.567,465.672,20,29210,52.966,22.613,30,11,145,41.447,126.459,1093.492,51,68591
4,3.587,43.726,128.657,8.844,41.793,129.167,3.788,1.263,3.7,1.234,178.008,0.576,3.807,41.793,0,174.289,1.263,2.997,0.334,0.938,139.227,23.636,147,72,193,43.68,128.669,499.406,141,31326,33.693,19.313,20,9,105,43.822,128.774,120.858,28,7581,2.858,2.93,0,0,22,43.704,128.803,10.251,2,643,25.627,7.604,21,9,52,43.71,128.692,91.923,24,5766
5,23.913,49.331,126.397,19.848,46.212,129.167,6.566,5.429,7.69,3.959,146.498,0.763,7.929,46.212,0.126,142.765,4.232,1.942,0.515,0.945,155.486,40.735,255,53,255,49.251,126.496,3718.186,152,233229,55.591,27.747,27,6,145,49.406,126.495,1329.373,56,83387,4.659,5.489,0,0,62,49.634,126.324,111.404,3,6988,23.595,10.11,19,6,76,49.44,126.348,564.227,21,35392
6,7.716,53.507,128.245,11.892,51.01,129.167,4.672,2.273,4.448,2.209,177.925,0.686,4.755,51.01,0.126,169.287,2.273,2.014,0.497,0.935,136.519,35.331,107,61,240,53.379,128.254,1053.382,130,66075,52.645,34.63,13,5,146,53.572,128.482,406.208,45,25480,2.347,2.922,0,0,22,53.555,128.438,18.11,1,1136,83.397,43.288,52,17,218,53.563,128.426,643.491,71,40364
7,4.687,62.71,128.504,9.81,60.48,129.167,4.167,1.515,3.886,1.536,179.374,0.612,4.184,60.48,0.126,174.806,1.515,2.53,0.395,0.923,140.432,41.722,128,59,254,62.578,128.542,658.206,131,41287,39.041,24.259,14,6,104,62.844,128.663,182.985,33,11478,5.177,5.329,0,0,28,62.887,128.685,24.264,3,1522,23.272,8.196,16,8,51,62.817,128.58,109.077,22,6842
8,11.494,76.446,128.03,15.088,73.232,129.167,5.934,2.904,5.303,2.76,173.046,0.634,6.095,73.232,0,166.827,2.904,1.922,0.52,0.913,122.917,35,95,44,237,76.327,128.006,1412.847,115,88623,41.624,23.76,13,6,103,76.357,128.24,478.442,37,30011,28.713,22.973,7,0,100,76.265,128.285,330.036,23,20702,24.527,10.621,20,7,76,76.507,128.166,281.922,22,17684
9,7.254,82.547,128.166,11.996,79.924,129.167,4.419,2.652,4.296,2.15,160.252,0.633,4.714,79.924,0,159.624,2.652,1.999,0.5,0.919,125.207,30.95,103,60,233,82.473,128.214,908.212,125,56969,34.723,21.087,13,5,93,82.572,128.386,251.871,30,15799,3.308,3.926,0,0,23,82.569,128.383,23.993,2,1505,49.782,28.427,21,12,125,82.559,128.346,361.107,41,22651
10,6.217,88.737,128.484,11.683,86.237,129.167,5.051,1.641,4.72,1.677,0.01,0.572,5.065,86.237,0,175.711,1.641,2.815,0.355,0.949,125.349,29.291,115,55,224,88.67,128.494,779.351,126,48886,34.897,18.791,20,6,83,88.845,128.613,216.973,31,13610,3.997,4.375,0,0,22,88.857,128.724,24.854,2,1559,42.585,17.128,36,15,113,88.945,128.507,264.768,40,16608
11,4.639,125.536,128.425,8.905,123.864,129.167,3.409,1.894,3.256,1.814,179.628,0.735,3.492,123.864,0.884,12.529,1.894,1.795,0.557,0.945,139.034,32.645,131,66,221,125.477,128.417,645.006,139,40459,42.739,33.773,13,5,133,125.443,128.653,198.273,31,12437,6.254,6.75,0,0,31,125.513,128.707,29.015,4,1820,23.509,9.387,16,7,59,125.487,128.524,109.061,21,6841
12,33.208,32.217,126.875,23.932,27.904,129.04,8.46,5.177,8.569,4.934,172.684,0.729,8.828,27.904,0.126,163.379,5.177,1.737,0.576,0.941,133.762,27.68,125,60,234,32.25,126.924,4441.93,132,278627,36.405,18.566,40,3,103,32.288,127.203,1208.914,38,75831,2.488,3.124,0,0,31,32.259,127.34,82.628,1,5183,36.431,16.288,35,7,97,31.977,127.139,1209.791,36,75886
13,12.849,58.897,126.68,14.54,56.944,129.04,3.788,4.798,5.32,3.075,119.068,0.764,5.783,57.071,0.126,126.119,3.379,1.73,0.578,0.923,127.05,31.504,98,66,220,58.848,126.834,1632.514,123,102402,22.862,7.917,27,4,48,58.862,126.805,293.767,22,18427,3.952,3.347,3,0,21,58.811,126.652,50.776,3,3185,44.022,13.726,37,16,109,58.909,126.829,565.662,42,35482
14,39.967,70.872,125.806,25.679,66.162,129.04,9.217,6.566,9.774,5.206,152.191,0.762,9.801,66.162,1.768,158.062,5.479,1.877,0.533,0.951,170.463,40.596,154,73,255,70.925,125.947,6812.904,162,427350,51.834,24.288,61,5,137,70.848,126.011,2071.642,53,129947,4.353,4.428,0,0,38,70.723,125.993,173.993,3,10914,27.975,11.803,16,5,77,70.998,125.764,1118.075,27,70133
15,5.086,104.085,128.285,10.063,101.894,129.04,3.788,2.02,3.676,1.762,168.104,0.631,3.916,101.894,0.126,159.228,2.02,2.086,0.479,0.919,165.32,40.857,172,83,255,104.008,128.332,840.744,170,52737,35.79,18.948,13,7,78,104.26,128.444,182.012,34,11417,1.266,1.798,0,0,12,104.362,128.474,6.441,1,404,21.339,7.594,24,8,51,104.035,128.35,108.519,20,6807
16,21.618,109.026,126.183,18.955,106.566,129.04,5.303,5.429,6.05,4.549,122.927,0.756,6.438,106.944,0.505,138.18,5.097,1.33,0.752,0.921,180.238,42.901,255,66,255,109.128,126.233,3896.324,182,244403,50.828,23.458,54,7,165,109.08,126.305,1098.785,51,68923,3.176,3.711,0,0,37,108.861,126.33,68.647,2,4306,20.795,8.024,17,5,83,109.059,126.146,449.538,19,28198
17,21.745,115.692,126.174,19.195,112.626,128.788,6.187,5.303,6.879,4.025,145.41,0.742,7.215,112.752,1.01,147.144,4.348,1.709,0.585,0.926,147.823,33.259,152,59,239,115.54,126.293,3214.428,152,201630,35.183,9.825,34,13,77,115.733,126.029,765.067,34,47990,6.82,5.258,4,0,45,115.914,125.828,148.31,6,9303,12.977,6.328,10,2,75,115.651,126.083,282.177,12,17700
18,25.221,122.406,125.991,20.34,119.066,128.788,6.818,5.556,7.364,4.36,144.658,0.766,7.564,119.444,0.884,146.575,4.643,1.689,0.592,0.936,149.2,38.173,125,64,255,122.268,126.074,3762.92,145,236035,62.128,32.025,75,6,189,122.361,126.222,1566.912,62,98287,9.175,8.256,0,0,43,122.37,126.233,231.401,7,14515,21.742,11.02,18,4,105,122.325,126.04,548.348,19,34396
19,23.658,95.02,125.281,19.922,92.677,128.662,4.545,7.449,7.466,4.035,102.557,0.749,7.656,94.192,0.505,103.349,4.433,1.85,0.54,0.94,155.365,39.474,255,68,255,94.92,125.313,3675.668,148,230562,63.592,30.738,20,6,165,95.113,125.381,1504.482,65,94371,12.947,11.001,2,0,66,95.125,125.515,306.298,10,19213,39.352,17.116,27,10,108,94.938,125.384,931.009,36,58399
20,12.26,25.137,125.323,14.127,22.854,127.525,4.419,4.419,4.833,3.23,141.708,0.772,5.096,23.359,2.399,138.013,3.571,1.496,0.668,0.905,98.155,24.236,106,49,161,25.051,125.38,1203.334,97,75481,35.121,17.998,20,4,100,24.906,125.491,430.567,32,27008,1.921,2.936,0,0,29,25.214,125.174,23.547,1,1477,28.408,13.737,14,9,97,24.865,125.435,348.274,26,21846
21,22.367,102.942,124.171,18.468,100.252,127.146,5.429,6.061,6.475,4.399,125.068,0.824,6.39,100.379,3.03,142.224,4.483,1.472,0.679,0.939,142.967,39.451,110,66,252,102.862,124.106,3197.736,136,200583,57.469,36.294,26,7,186,102.987,124.416,1285.404,50,80629,18.145,16.63,2,0,101,102.94,124.491,405.841,13,25457,46.947,21.118,35,11,112,102.956,124.285,1050.066,44,65867
