 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AC0-DAPI,StdDev+AC0-DAPI,Mode+AC0-DAPI,Min+AC0-DAPI,Max+AC0-DAPI,XM+AC0-DAPI,YM+AC0-DAPI,IntDen+AC0-DAPI,Median+AC0-DAPI,RawIntDen+AC0-DAPI,Mean+AC0-Sox2,StdDev+AC0-Sox2,Mode+AC0-Sox2,Min+AC0-Sox2,Max+AC0-Sox2,XM+AC0-Sox2,YM+AC0-Sox2,IntDen+AC0-Sox2,Median+AC0-Sox2,RawIntDen+AC0-Sox2,Mean+AC0-Klf4,StdDev+AC0-Klf4,Mode+AC0-Klf4,Min+AC0-Klf4,Max+AC0-Klf4,XM+AC0-Klf4,YM+AC0-Klf4,IntDen+AC0-Klf4,Median+AC0-Klf4,RawIntDen+AC0-Klf4,Mean+AC0-Sox9,StdDev+AC0-Sox9,Mode+AC0-Sox9,Min+AC0-Sox9,Max+AC0-Sox9,XM+AC0-Sox9,YM+AC0-Sox9,IntDen+AC0-Sox9,Median+AC0-Sox9,RawIntDen+AC0-Sox9
1,30.284,8.193,126.165,22.205,5.555,129.028,6.06,6.818,7.212,5.346,63.718,0.772,8.194,28,27,56.31,5.645,1.349,0.741,0.932,106.968,36.157,88,38,228,8.382,126.201,3239.455,101,50810,57.208,27.255,30,14,123,8.478,126.432,1732.512,57,27174,38.434,33.535,3,0,168,8.688,126.597,1163.934,30,18256,21.746,11.307,16,5,62,25.337,127.357,332.744,20,5219
2,15.302,25.089,127.177,15.099,22.978,129.028,4.293,4.293,4.577,4.256,42.617,0.843,5.404,95,17,52.595,4.293,1.075,0.93,0.947,112.308,23.932,105,59,220,25.126,127.185,1718.486,110,26954,54.975,22.55,33,19,115,25.32,127.412,841.2,54,13194,20.417,16.276,7,0,100,25.477,127.477,312.406,16,4900,13.684,8.564,9,4,70,28.513,124.815,331.533,11,5200
3,24.227,28.533,124.925,24.654,24.998,129.028,6.818,8.333,9.782,3.153,54.463,0.501,9.397,101,32,59.3,4.327,3.102,0.322,0.766,144.011,40.063,120,73,255,28.626,125.155,3488.997,133,54724,57.092,23.071,33,21,118,28.544,124.891,1383.192,52,21695,51.124,35.3,11,2,196,28.66,124.977,1238.593,44,19427,20.58,13.659,18,8,73,37.672,128.487,65.605,18,1029
4,3.188,37.683,128.371,6.749,36.36,129.028,2.525,1.515,2.613,1.554,174.348,0.88,2.72,144,0,158.199,1.515,1.682,0.595,0.943,78.42,13.595,87,51,111,37.705,128.391,249.988,78,3921,29.34,5.627,28,17,40,37.662,128.368,93.53,30,1467,3.98,3.034,1,0,15,37.623,128.406,12.687,3,199,33.769,15.597,20,12,100,42.629,127.999,335.868,31,5268
5,9.946,42.507,127.99,13.584,39.895,129.028,5.303,2.525,4.955,2.556,2.429,0.677,5.451,158,0,166.608,2.525,1.939,0.516,0.899,158.712,36.693,132,82,254,42.566,128.032,1578.541,156,24759,100.718,43.142,138,36,224,42.436,127.988,1001.738,94,15712,9.135,10.702,4,0,75,42.134,128.095,90.853,7,1425,40.66,24.689,19,15,142,48.47,128.519,137.395,34,2155
6,3.379,48.454,128.544,8.203,46.713,129.028,3.535,1.01,3.852,1.117,0.682,0.631,3.615,185,0,167.905,1.01,3.449,0.29,0.972,119,33.809,133,47,181,48.471,128.584,402.111,123,6307,48.698,21.679,33,22,104,48.389,128.622,164.555,42,2581,4.057,4.439,1,0,19,48.351,128.575,13.708,3,215,42.181,27.25,36,10,158,53.471,127.9,193.628,36,3037
7,4.59,53.421,127.807,8.386,52.015,129.028,2.778,2.525,3.342,1.749,42.042,0.82,3.571,207,10,45,1.964,1.91,0.523,0.878,96.986,22.85,93,57,167,53.433,127.872,445.21,93,6983,68.431,37.683,36,23,167,53.608,128.03,314.127,55,4927,5.042,4.533,1,0,21,53.453,127.887,23.144,4,363,26.205,15.094,23,9,167,62.413,125.844,407.657,23,6394
8,15.557,62.359,125.607,16.823,61.105,129.028,2.778,6.818,6.999,2.83,93.631,0.691,6.933,243,0,100.491,2.778,2.473,0.404,0.935,56.471,20.255,50,20,125,62.315,126.158,878.497,54,13779,22.176,7.433,13,4,45,62.343,125.996,344.985,22,5411,2.705,2.603,0,0,14,62.503,125.828,42.079,2,660,13.714,4.07,16,5,25,65.073,128.202,73.447,14,1152
9,5.356,65.247,128.186,9.483,63.63,129.028,3.535,2.02,3.333,2.046,8.487,0.748,3.676,252,4,15.945,2.02,1.629,0.614,0.894,112.488,28.486,99,73,214,65.184,128.168,602.433,104,9449,17.393,4.217,16,7,31,65.141,128.183,93.148,17,1461,3.333,3.086,1,0,12,65.048,128.121,17.852,2,280,23.062,26.875,9,6,178,72.695,127.23,166.149,14,2606
10,7.204,72.759,127.384,10.616,71.205,129.028,3.283,3.283,4.079,2.249,48.988,0.803,4.467,283,13,47.291,2.5,1.814,0.551,0.919,40.956,7.953,43,19,63,72.772,127.439,295.064,40,4628,24.681,6.105,25,13,50,72.75,127.421,177.816,25,2789,3.31,3.606,1,0,25,72.625,127.378,23.845,2,374,61.429,32.791,93,10,145,77.631,126.456,575.719,57,9030
