,Orientation,TR1,TR2,TR3
0,-89.5,698.0,1406.0,1467.0
1,-88.5,675.0,1403.0,1560.0
2,-87.5,642.0,1389.0,1418.0
3,-86.5,707.0,1333.0,1526.0
4,-85.5,714.0,1415.0,1509.0
5,-84.5,699.0,1460.0,1585.0
6,-83.5,692.0,1405.0,1571.0
7,-82.5,696.0,1468.0,1616.0
8,-81.5,714.0,1532.0,1638.0
9,-80.5,706.0,1538.0,1714.0
10,-79.5,705.0,1631.0,1692.0
11,-78.5,771.0,1687.0,1726.0
12,-77.5,700.0,1680.0,1748.0
13,-76.5,783.0,1684.0,1832.0
14,-75.5,852.0,1693.0,1810.0
15,-74.5,848.0,1730.0,1914.0
16,-73.5,915.0,1772.0,1850.0
17,-72.5,941.0,1789.0,1944.0
18,-71.5,1054.0,1821.0,1938.0
19,-70.5,1074.0,1830.0,2053.0
20,-69.5,1103.0,1871.0,2137.0
21,-68.5,1192.0,1936.0,2272.0
22,-67.5,1182.0,2042.0,2464.0
23,-66.5,1327.0,2064.0,2510.0
24,-65.5,1366.0,2166.0,2611.0
25,-64.5,1391.0,2173.0,2729.0
26,-63.5,1438.0,2345.0,2867.0
27,-62.5,1557.0,2467.0,3121.0
28,-61.5,1684.0,2760.0,3366.0
29,-60.5,1781.0,2955.0,3571.0
30,-59.5,1874.0,3238.0,4163.0
31,-58.5,1922.0,3462.0,4303.0
32,-57.5,1981.0,3696.0,4492.0
33,-56.5,2061.0,4023.0,4486.0
34,-55.5,2248.0,4271.0,4877.0
35,-54.5,2528.0,4758.0,5044.0
36,-53.5,2711.0,4809.0,5420.0
37,-52.5,3146.0,4980.0,5835.0
38,-51.5,3300.0,5003.0,6148.0
39,-50.5,3397.0,5101.0,6674.0
40,-49.5,3558.0,5262.0,6312.0
41,-48.5,3353.0,5475.0,6788.0
42,-47.5,3689.0,5498.0,7297.0
43,-46.5,3961.0,5627.0,7538.0
44,-45.5,4038.0,5850.0,7687.0
45,-44.5,3997.0,5660.0,7972.0
46,-43.5,4120.0,5786.0,8336.0
47,-42.5,4748.0,5538.0,8496.0
48,-41.5,5315.0,5803.0,8990.0
49,-40.5,5917.0,5897.0,9197.0
50,-39.5,5556.0,6234.0,9069.0
51,-38.5,6054.0,6303.0,9306.0
52,-37.5,6561.0,6158.0,9825.0
53,-36.5,6949.0,6505.0,10006.0
54,-35.5,7689.0,6230.0,9937.0
55,-34.5,8135.0,6166.0,9943.0
56,-33.5,8638.0,6174.0,10030.0
57,-32.5,9097.0,6032.0,9978.0
58,-31.5,10120.0,5937.0,10150.0
59,-30.5,10602.0,6220.0,10514.0
60,-29.5,11658.0,6245.0,10164.0
61,-28.5,12153.0,5944.0,10048.0
62,-27.5,12498.0,6310.0,10868.0
63,-26.5,12554.0,6258.0,10498.0
64,-25.5,13610.0,6793.0,10344.0
65,-24.5,13880.0,7083.0,10625.0
66,-23.5,14309.0,7672.0,10963.0
67,-22.5,15118.0,8262.0,10636.0
68,-21.5,16134.0,8389.0,10727.0
69,-20.5,16847.0,8836.0,10694.0
70,-19.5,17128.0,9349.0,10845.0
71,-18.5,17842.0,9850.0,10791.0
72,-17.5,18815.0,9936.0,10786.0
73,-16.5,20007.0,10602.0,10623.0
74,-15.5,20330.0,11129.0,10714.0
75,-14.5,20606.0,12002.0,10252.0
76,-13.5,21101.0,12364.0,10034.0
77,-12.5,21346.0,12753.0,10003.0
78,-11.5,21524.0,13864.0,9937.0
79,-10.5,21368.0,15028.0,9765.0
80,-9.5,20828.0,16050.0,9531.0
81,-8.5,19982.0,16913.0,9434.0
82,-7.5,19692.0,18286.0,9114.0
83,-6.5,19692.0,19448.0,9253.0
84,-5.5,19816.0,20672.0,9061.0
85,-4.5,19309.0,20709.0,8919.0
86,-3.5,18158.0,21295.0,8508.0
87,-2.5,17961.0,21715.0,8338.0
88,-1.5,17284.0,22314.0,8008.0
89,-0.5,16360.0,23375.0,7944.0
90,0.5,15515.0,23309.0,8083.0
91,1.5,15011.0,22913.0,7822.0
92,2.5,14015.0,22781.0,7682.0
93,3.5,13186.0,21715.0,7491.0
94,4.5,12959.0,21487.0,7528.0
95,5.5,12524.0,20507.0,7530.0
96,6.5,11503.0,19464.0,7732.0
97,7.5,10813.0,18328.0,7807.0
98,8.5,10220.0,15924.0,7748.0
99,9.5,9529.0,14028.0,7697.0
100,10.5,9156.0,13039.0,7614.0
101,11.5,8830.0,12322.0,7730.0
102,12.5,8192.0,11109.0,7654.0
103,13.5,7921.0,10213.0,7476.0
104,14.5,7144.0,9509.0,7214.0
105,15.5,6614.0,8272.0,7303.0
106,16.5,6331.0,7097.0,7718.0
107,17.5,6024.0,6337.0,7378.0
108,18.5,5741.0,5582.0,7551.0
109,19.5,5325.0,5019.0,7457.0
110,20.5,5238.0,4396.0,7395.0
111,21.5,5059.0,4358.0,7595.0
112,22.5,4894.0,4212.0,7467.0
113,23.5,4596.0,3883.0,7424.0
114,24.5,4409.0,3691.0,7281.0
115,25.5,4029.0,3568.0,7103.0
116,26.5,3615.0,3298.0,7124.0
117,27.5,3447.0,2946.0,7145.0
118,28.5,3251.0,2786.0,7389.0
119,29.5,3258.0,2660.0,7915.0
120,30.5,3105.0,2565.0,8210.0
121,31.5,3063.0,2578.0,8410.0
122,32.5,3023.0,2550.0,8414.0
123,33.5,3070.0,2612.0,8273.0
124,34.5,2944.0,2575.0,8032.0
125,35.5,3039.0,2473.0,8029.0
126,36.5,3207.0,2498.0,7993.0
127,37.5,3047.0,2506.0,7482.0
128,38.5,3011.0,2602.0,7609.0
129,39.5,3017.0,2842.0,7481.0
130,40.5,2988.0,2951.0,7029.0
131,41.5,2692.0,2782.0,6775.0
132,42.5,2740.0,2768.0,6806.0
133,43.5,2953.0,2671.0,6875.0
134,44.5,2856.0,2609.0,6767.0
135,45.5,2618.0,2486.0,6684.0
136,46.5,2426.0,2407.0,6508.0
137,47.5,2444.0,2291.0,5980.0
138,48.5,2432.0,2423.0,5685.0
139,49.5,2375.0,2304.0,5298.0
140,50.5,2480.0,2598.0,5121.0
141,51.5,2513.0,2284.0,4694.0
142,52.5,2455.0,2275.0,4346.0
143,53.5,2415.0,2261.0,3799.0
144,54.5,2351.0,2112.0,3404.0
145,55.5,2056.0,2197.0,3262.0
146,56.5,1943.0,2070.0,3003.0
147,57.5,1723.0,2049.0,2952.0
148,58.5,1613.0,1885.0,2723.0
149,59.5,1518.0,1765.0,2652.0
150,60.5,1305.0,1710.0,2468.0
151,61.5,1314.0,1822.0,2369.0
152,62.5,1224.0,1787.0,2414.0
153,63.5,1205.0,1821.0,2212.0
154,64.5,1237.0,1713.0,2245.0
155,65.5,1171.0,1691.0,2211.0
156,66.5,1110.0,1619.0,2204.0
157,67.5,1070.0,1623.0,2201.0
158,68.5,975.0,1496.0,2045.0
159,69.5,957.0,1437.0,2082.0
160,70.5,889.0,1434.0,1986.0
161,71.5,861.0,1413.0,1912.0
162,72.5,885.0,1456.0,1790.0
163,73.5,850.0,1548.0,1800.0
164,74.5,888.0,1541.0,1798.0
165,75.5,841.0,1520.0,1598.0
166,76.5,824.0,1454.0,1599.0
167,77.5,839.0,1400.0,1556.0
168,78.5,797.0,1423.0,1538.0
169,79.5,800.0,1359.0,1491.0
170,80.5,805.0,1388.0,1521.0
171,81.5,752.0,1379.0,1491.0
172,82.5,769.0,1367.0,1462.0
173,83.5,782.0,1430.0,1494.0
174,84.5,705.0,1464.0,1387.0
175,85.5,733.0,1491.0,1486.0
176,86.5,679.0,1482.0,1432.0
177,87.5,708.0,1350.0,1490.0
178,88.5,684.0,1296.0,1468.0
179,89.5,669.0,1333.0,1478.0
