,Orientation,TR1,TR2,TR3
0,-89.5,1283.0,43.0,306.0
1,-88.5,1345.0,38.0,260.0
2,-87.5,1309.0,39.0,281.0
3,-86.5,1384.0,31.0,316.0
4,-85.5,1431.0,46.0,296.0
5,-84.5,1482.0,39.0,316.0
6,-83.5,1430.0,56.0,302.0
7,-82.5,1513.0,73.0,327.0
8,-81.5,1403.0,100.0,297.0
9,-80.5,1423.0,117.0,364.0
10,-79.5,1481.0,135.0,305.0
11,-78.5,1523.0,107.0,290.0
12,-77.5,1545.0,77.0,331.0
13,-76.5,1634.0,76.0,289.0
14,-75.5,1601.0,69.0,312.0
15,-74.5,1643.0,80.0,337.0
16,-73.5,1773.0,74.0,340.0
17,-72.5,1832.0,61.0,352.0
18,-71.5,1877.0,64.0,436.0
19,-70.5,1872.0,60.0,435.0
20,-69.5,1955.0,64.0,475.0
21,-68.5,2084.0,69.0,511.0
22,-67.5,2168.0,61.0,588.0
23,-66.5,2274.0,61.0,707.0
24,-65.5,2449.0,60.0,746.0
25,-64.5,2339.0,64.0,910.0
26,-63.5,2684.0,76.0,906.0
27,-62.5,2780.0,66.0,891.0
28,-61.5,2940.0,64.0,950.0
29,-60.5,2935.0,70.0,925.0
30,-59.5,2939.0,75.0,967.0
31,-58.5,3187.0,69.0,992.0
32,-57.5,3536.0,78.0,1009.0
33,-56.5,3678.0,70.0,1067.0
34,-55.5,3807.0,99.0,1232.0
35,-54.5,3934.0,117.0,1298.0
36,-53.5,4224.0,121.0,1472.0
37,-52.5,4486.0,154.0,1592.0
38,-51.5,4662.0,165.0,1775.0
39,-50.5,4587.0,154.0,1768.0
40,-49.5,4536.0,187.0,1939.0
41,-48.5,4566.0,189.0,2084.0
42,-47.5,4522.0,198.0,2359.0
43,-46.5,4550.0,233.0,2633.0
44,-45.5,4631.0,233.0,2967.0
45,-44.5,4413.0,248.0,3532.0
46,-43.5,4481.0,329.0,3796.0
47,-42.5,4635.0,450.0,4074.0
48,-41.5,4711.0,580.0,4320.0
49,-40.5,4869.0,661.0,4509.0
50,-39.5,5128.0,693.0,4801.0
51,-38.5,4947.0,841.0,5179.0
52,-37.5,4899.0,995.0,5318.0
53,-36.5,4872.0,1234.0,6297.0
54,-35.5,4897.0,1476.0,6848.0
55,-34.5,4830.0,1755.0,7239.0
56,-33.5,4809.0,2030.0,7647.0
57,-32.5,4981.0,2477.0,8033.0
58,-31.5,5229.0,2754.0,8490.0
59,-30.5,5094.0,3034.0,9198.0
60,-29.5,5041.0,3248.0,9949.0
61,-28.5,5036.0,3634.0,11026.0
62,-27.5,4950.0,3964.0,12338.0
63,-26.5,4963.0,4045.0,13980.0
64,-25.5,5104.0,4265.0,15407.0
65,-24.5,5132.0,4953.0,16465.0
66,-23.5,4973.0,5399.0,17267.0
67,-22.5,5229.0,6225.0,18626.0
68,-21.5,5367.0,7002.0,20320.0
69,-20.5,5478.0,8126.0,21318.0
70,-19.5,5764.0,9529.0,22553.0
71,-18.5,5662.0,10384.0,24388.0
72,-17.5,5939.0,11447.0,26148.0
73,-16.5,5737.0,13160.0,26381.0
74,-15.5,5989.0,14722.0,27017.0
75,-14.5,6061.0,16364.0,28018.0
76,-13.5,5946.0,17311.0,28390.0
77,-12.5,6133.0,18784.0,28559.0
78,-11.5,6167.0,20301.0,29077.0
79,-10.5,6322.0,21615.0,29479.0
80,-9.5,6431.0,23102.0,28750.0
81,-8.5,6462.0,25224.0,27420.0
82,-7.5,6619.0,27562.0,26350.0
83,-6.5,6888.0,29690.0,25810.0
84,-5.5,6825.0,31002.0,25206.0
85,-4.5,6723.0,32297.0,24904.0
86,-3.5,6787.0,33565.0,23602.0
87,-2.5,6804.0,34845.0,22029.0
88,-1.5,7225.0,35360.0,20847.0
89,-0.5,7208.0,34815.0,19561.0
90,0.5,7543.0,34717.0,18899.0
91,1.5,7767.0,35232.0,17608.0
92,2.5,7978.0,34358.0,15887.0
93,3.5,8471.0,33108.0,14290.0
94,4.5,8625.0,32732.0,13564.0
95,5.5,8675.0,30589.0,12419.0
96,6.5,8860.0,29288.0,11334.0
97,7.5,9402.0,26958.0,10659.0
98,8.5,9666.0,24938.0,9863.0
99,9.5,10083.0,22973.0,9156.0
100,10.5,10355.0,21543.0,7957.0
101,11.5,11017.0,18730.0,6844.0
102,12.5,11482.0,16835.0,6422.0
103,13.5,11569.0,14964.0,5896.0
104,14.5,12398.0,13641.0,5752.0
105,15.5,12741.0,12183.0,5413.0
106,16.5,13059.0,10981.0,4499.0
107,17.5,13641.0,10113.0,4149.0
108,18.5,13242.0,9003.0,3556.0
109,19.5,13803.0,8217.0,3326.0
110,20.5,13897.0,7560.0,3096.0
111,21.5,13876.0,6336.0,2908.0
112,22.5,14149.0,5651.0,2904.0
113,23.5,13979.0,5265.0,2719.0
114,24.5,14371.0,4858.0,2435.0
115,25.5,14542.0,4388.0,2230.0
116,26.5,14799.0,3626.0,2089.0
117,27.5,14689.0,3140.0,2003.0
118,28.5,14743.0,2757.0,1969.0
119,29.5,14546.0,2371.0,1773.0
120,30.5,14582.0,2088.0,1645.0
121,31.5,14180.0,1786.0,1531.0
122,32.5,14064.0,1633.0,1514.0
123,33.5,14081.0,1602.0,1430.0
124,34.5,13433.0,1481.0,1381.0
125,35.5,13316.0,1345.0,1408.0
126,36.5,12819.0,1267.0,1355.0
127,37.5,12405.0,1151.0,1213.0
128,38.5,11727.0,1118.0,1168.0
129,39.5,10629.0,951.0,1156.0
130,40.5,9929.0,763.0,1144.0
131,41.5,10060.0,699.0,1120.0
132,42.5,9662.0,712.0,1025.0
133,43.5,9204.0,695.0,1004.0
134,44.5,8607.0,674.0,993.0
135,45.5,8311.0,615.0,941.0
136,46.5,8181.0,594.0,933.0
137,47.5,8111.0,583.0,840.0
138,48.5,7636.0,568.0,907.0
139,49.5,7149.0,522.0,782.0
