 ,Area,X,Y,Perim,BX,BY,Width,Height,Major,Minor,Angle,Circ,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
1,5.484,12.424,128.262,9.484,10.48,129.167,3.409,2.146,3.39,2.06,164.32,0.766,3.731,10.48,0,156.038,2.146,1.646,0.608,0.95,56.965,4.325,56,47,66,12.395,128.267,312.404,57,19596,4.942,0.994,5,3,8,12.431,128.321,27.102,5,1700,0.703,1.155,0,0,7,12.419,128.287,3.858,0,242,14.451,3.58,14,7,28,12.584,128.268,79.249,14,4971
2,11.431,17.712,127.196,12.828,15.909,129.167,3.409,4.04,4.236,3.435,105.432,0.873,4.419,16.288,0.379,126.87,3.409,1.233,0.811,0.962,75.223,15.377,65,45,109,17.742,127.28,859.843,74,53935,10.413,4.998,6,2,33,17.615,127.433,119.025,9,7466,2.374,2.31,0,0,15,17.645,127.535,27.134,2,1702,25.589,26.957,17,9,223,17.739,127.235,292.492,17,18347
3,3.922,25.963,128.576,8.665,24.116,129.167,3.535,1.389,3.526,1.416,177.6,0.656,3.571,24.116,0,171.87,1.389,2.49,0.402,0.95,78.329,26.207,67,43,148,25.778,128.652,307.19,73,19269,6.797,2.407,4,3,13,25.747,128.643,26.655,6,1672,0.472,0.946,0,0,6,25.591,128.727,1.849,0,116,20.805,12.53,15,7,103,25.717,128.61,81.592,17,5118
4,2.025,32.502,128.781,6.51,31.061,129.167,2.778,0.884,2.78,0.927,178.576,0.6,2.823,31.061,0,169.695,0.884,2.998,0.334,0.948,89.614,27.384,72,42,151,32.394,128.813,181.438,87,11381,12.016,4.154,7,6,23,32.348,128.824,24.328,12,1526,1.898,2.719,0,0,17,32.395,128.902,3.842,1,241,26.126,14.898,15,11,69,32.513,128.693,52.896,19,3318
5,32.331,38.225,126.603,22.46,34.722,129.167,6.818,6.187,6.765,6.085,162.314,0.805,7.424,34.975,0,131.553,6.187,1.112,0.9,0.973,147.387,41.519,145,48,255,38.235,126.739,4765.143,148,298901,33.061,18.344,9,4,71,38.403,127.118,1068.877,33,67047,6.67,6.653,0,0,51,38.509,127.254,215.634,5,13526,25.269,10.132,21,9,74,38.273,126.628,816.975,23,51246
6,28.983,47.936,126.246,21.376,44.697,129.167,5.934,6.439,6.579,5.609,119.131,0.797,7.459,45.581,0.126,123.959,5.934,1.173,0.852,0.946,155.815,37.764,131,79,255,47.871,126.319,4515.982,148,283272,48.916,22.303,66,9,110,48.025,126.502,1417.725,52,88929,3.166,3.503,0,0,32,47.931,126.333,91.747,2,5755,29.025,11.122,17,13,84,48.063,126.245,841.239,27,52768
7,1.977,62.583,128.756,6.183,61.237,129.167,2.525,1.01,2.583,0.975,176.698,0.65,2.603,61.237,0,165.964,1.01,2.65,0.377,0.932,98.29,37.881,57,51,184,62.597,128.837,194.304,88,12188,12.581,3.137,10,8,21,62.602,128.807,24.87,11,1560,1.734,1.848,0,0,9,62.569,128.724,3.428,1,215,28.71,6.18,26,16,45,62.543,128.782,56.754,28,3560
8,27.022,67.355,125.902,21.185,64.394,129.167,5.808,6.818,8.004,4.299,124.708,0.757,8.207,64.899,0.126,126.87,4.652,1.862,0.537,0.939,135.448,39.344,102,64,255,67.446,125.939,3660.092,127,229585,41.618,19.925,61,9,89,67.231,126.224,1124.595,44,70542,11.973,9.659,3,0,68,67.134,126.428,323.531,10,20294,32.909,16.854,24,12,121,67.344,126.096,889.272,28,55781
9,12.626,71.61,127.29,14.3,69.318,129.167,4.04,4.293,4.584,3.507,118.689,0.776,5.191,69.318,0.126,131.055,3.776,1.307,0.765,0.936,144.784,34.328,134,88,253,71.637,127.301,1828.077,135,114669,42.804,20.438,63,8,76,71.616,127.549,540.457,43,33901,6.048,5.361,0,0,33,71.599,127.594,76.363,5,4790,35.558,12.603,24,14,75,71.524,127.424,448.965,34,28162
10,2.184,80.248,128.64,5.961,79.04,129.167,2.273,1.263,2.17,1.282,173.581,0.772,2.328,79.04,0,167.471,1.263,1.693,0.591,0.948,145.372,23.075,129,74,191,80.246,128.666,317.505,145,19916,32.869,17.993,22,9,72,80.167,128.746,71.788,27,4503,2.723,2.994,0,0,21,80.051,128.837,5.946,2,373,28.73,10.655,16,15,69,80.144,128.688,62.749,26,3936
11,45.085,85.67,125.489,26.192,82.323,129.167,6.944,8.207,8.395,6.838,100.77,0.826,9.225,82.449,0.126,120.426,6.944,1.228,0.814,0.965,180.069,37.215,255,85,255,85.634,125.478,8118.316,179,509234,36.33,15.239,50,5,67,85.693,125.736,1637.919,40,102741,5.793,6.003,0,0,62,85.727,125.807,261.165,4,16382,27.569,12.313,16,9,102,85.629,125.567,1242.95,25,77966
12,7.573,94.928,128.336,12.397,92.298,129.167,5.051,2.146,4.787,2.014,177.257,0.619,5.09,92.298,0.631,7.125,2.146,2.377,0.421,0.929,181.246,44.904,255,82,255,94.959,128.392,1372.497,183,86092,21.983,12.457,9,4,63,94.904,128.525,166.469,21,10442,2.28,2.833,0,0,18,94.732,128.593,17.265,1,1083,21.221,6.202,23,11,45,94.858,128.362,160.697,21,10080
13,4.448,105.896,128.552,9.379,104.04,129.167,3.914,1.515,3.799,1.491,2.575,0.635,3.947,104.04,0,172.648,1.515,2.548,0.392,0.939,160.405,41.769,137,85,253,105.794,128.598,713.462,154,44753,24.262,14.746,11,9,72,105.97,128.686,107.913,19,6769,2.495,3.72,0,0,32,105.895,128.71,11.096,1,696,24.552,11.238,15,11,67,105.736,128.634,109.204,21,6850
14,2.583,112.279,128.619,6.749,110.985,129.167,2.652,1.389,2.437,1.349,3.465,0.712,2.678,110.985,0,171.87,1.389,1.806,0.554,0.931,144.802,31.704,148,78,248,112.204,128.623,373.972,145,23458,23.833,12.511,14,8,57,112.332,128.729,61.553,19,3861,3.494,3.412,2,0,17,112.37,128.737,9.023,3,566,18.642,2.423,18,14,28,112.272,128.631,48.145,18,3020
15,1.483,118.134,128.802,5.173,117.045,129.167,2.146,0.884,2.15,0.878,178.666,0.696,2.18,117.045,0,169.992,0.884,2.448,0.408,0.935,65.129,7.88,57,53,79,118.089,128.818,96.562,64,6057,7.376,1.532,6,5,12,118.08,128.828,10.936,7,686,4.269,7.963,0,0,54,118.02,128.972,6.329,2,397,15.742,2.862,16,10,21,118.082,128.8,23.339,16,1464
16,13.264,128.055,126.651,19.098,125.252,129.167,4.04,6.439,6.447,2.62,106.037,0.457,7.408,125.379,0,119.624,3.875,2.461,0.406,0.761,110.281,24.896,93,57,172,128.045,126.864,1462.762,108,91754,17.718,6.653,18,8,42,128.067,127.027,235.004,17,14741,16.758,13.068,9,0,68,128.502,125.906,222.282,13,13943,20.684,8.705,15,11,88,127.978,126.908,274.35,18,17209
17,25.858,55.671,126.758,21.031,52.02,129.04,6.566,5.051,6.849,4.807,150.881,0.735,7.929,52.02,0.126,142.765,5.051,1.425,0.702,0.951,171.083,28.482,175,89,251,55.674,126.724,4423.916,171,277497,31.109,14.629,13,8,71,55.722,127.003,804.428,33,50459,4.248,4.074,0,0,24,55.638,127,109.842,3,6890,27.745,13.234,16,10,95,55.587,127.035,717.431,24,45002
18,29.812,78.197,125.307,22.287,75.126,129.04,6.439,7.071,8.366,4.537,130.379,0.754,8.697,75.631,0.126,129.699,4.91,1.844,0.542,0.94,147.57,42.917,122,82,255,78.145,125.313,4399.333,141,275955,39.129,18.242,12,7,75,78.23,125.417,1166.507,41,73171,15.441,12.621,2,0,84,78.407,125.292,460.331,13,28875,34.42,24.54,20,10,216,78.23,125.365,1026.12,27,64365
19,28.839,114.414,123.897,24.541,112.374,128.788,3.914,9.722,10.098,3.636,91.93,0.602,9.84,113.889,0.379,98.858,3.914,2.777,0.36,0.89,139.066,39.199,97,80,255,114.422,124,4010.582,131,251570,40.301,19.886,23,7,96,114.417,124.165,1162.251,40,72904,21.135,15.722,5,0,101,114.379,124.139,609.519,18,38233,34.367,19.302,19,12,145,114.366,124.039,991.127,29,62170
20,18.254,99.055,125.341,17.126,96.97,128.535,3.914,6.187,6.341,3.666,85.201,0.782,6.341,98.485,6.818,77.347,3.816,1.73,0.578,0.943,130.035,37.494,105,70,255,98.927,125.438,2373.636,122,148890,31.739,17.55,8,5,76,98.957,125.571,579.356,30,36341,8.856,9.509,0,0,71,98.942,125.577,161.654,6,10140,28.705,12.775,21,10,78,98.991,125.445,523.973,25,32867
