 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AF8-DAPI,StdDev+AF8-DAPI,Mode+AF8-DAPI,Min+AF8-DAPI,Max+AF8-DAPI,XM+AF8-DAPI,YM+AF8-DAPI,IntDen+AF8-DAPI,Median+AF8-DAPI,RawIntDen+AF8-DAPI,Mean+AF8-Sox2,StdDev+AF8-Sox2,Mode+AF8-Sox2,Min+AF8-Sox2,Max+AF8-Sox2,XM+AF8-Sox2,YM+AF8-Sox2,IntDen+AF8-Sox2,Median+AF8-Sox2,RawIntDen+AF8-Sox2,Mean+AF8-Klf4,StdDev+AF8-Klf4,Mode+AF8-Klf4,Min+AF8-Klf4,Max+AF8-Klf4,XM+AF8-Klf4,YM+AF8-Klf4,IntDen+AF8-Klf4,Median+AF8-Klf4,RawIntDen+AF8-Klf4,Mean+AF8-Sox9,StdDev+AF8-Sox9,Mode+AF8-Sox9,Min+AF8-Sox9,Max+AF8-Sox9,XM+AF8-Sox9,YM+AF8-Sox9,IntDen+AF8-Sox9,Median+AF8-Sox9,RawIntDen+AF8-Sox9
1,28.089,8.048,125.086,24.214,5.303,129.164,5.05,9.091,9.512,3.76,103.523,0.602,9.547,5.429,0.126,110.113,4.079,2.53,0.395,0.903,134.766,30.801,117,67,243,8.057,125.092,3785.443,130,237458,56.19,18.72,41,20,117,8.051,125.204,1578.307,53,99006,1.117,1.417,0,0,11,8.033,125.025,31.373,1,1968,22.351,7.485,18,7,66,8.083,125.135,627.809,21,39382
2,13.997,12.118,127.547,14.983,9.343,129.164,4.924,3.788,4.856,3.67,153.041,0.783,5.505,9.343,0,143.393,3.788,1.323,0.756,0.961,136.847,24.789,124,62,218,12.02,127.643,1915.407,133,120152,56.505,19.065,68,19,102,12.028,127.703,790.875,58,49611,1.527,1.685,0,0,12,12.088,127.685,21.378,1,1341,48.702,21.306,34,8,135,11.979,127.712,681.66,47,42760
3,20.804,17.527,126.585,17.483,15.151,129.164,4.798,5.682,5.979,4.43,114.398,0.855,6.439,15.151,0,118.072,4.592,1.349,0.741,0.965,145.67,24.972,154,78,226,17.5,126.67,3030.485,148,190100,50.898,14.966,61,20,95,17.374,126.646,1058.868,52,66422,1.361,1.579,0,0,18,17.582,126.585,28.312,1,1776,29.539,9.271,32,7,65,17.37,126.576,614.514,29,38548
4,17.631,22.611,126.696,17.809,19.823,129.164,4.798,5.808,6.534,3.436,120.664,0.699,7.298,19.823,0,127.266,3.864,1.902,0.526,0.928,166.202,34.604,162,87,255,22.639,126.759,2930.356,161,183819,39.787,10.931,34,15,75,22.602,126.811,701.491,39,44004,1.446,1.563,0,0,9,22.605,126.703,25.491,1,1599,30.287,11.535,20,10,79,22.559,126.875,533.993,27,33497
5,5.803,32.83,127.884,9.78,31.312,129.164,2.651,2.904,3.222,2.293,130.729,0.762,3.84,31.312,0.126,133.668,2.651,1.405,0.712,0.942,133.978,21.255,139,75,179,32.872,127.92,777.436,138,48768,47.703,17.371,27,17,97,32.809,128.043,276.809,47,17364,1.783,1.823,0,0,11,32.922,128.021,10.346,1,649,43.102,18.447,30,14,92,32.76,128.023,250.107,40,15689
6,32.68,37.665,124.413,26.745,34.721,129.164,5.682,10.353,10.836,3.84,112.275,0.574,11.068,34.721,0.379,115.688,4.142,2.822,0.354,0.913,140.303,28.191,132,57,238,37.731,124.454,4585.134,137,287622,49.887,15.76,61,10,93,37.611,124.303,1630.324,51,102269,1.888,1.988,0,0,16,37.662,124.418,61.71,1,3871,42.03,16.161,41,10,97,37.658,124.293,1373.554,41,86162
7,28.727,42.606,125.858,21.35,39.519,129.164,5.808,7.197,7.917,4.62,120.12,0.792,8.164,39.898,0.126,121.724,4.671,1.713,0.584,0.959,138.886,29.863,129,68,250,42.516,125.861,3989.734,133,250273,63.564,25.718,34,18,144,42.586,125.87,1825.975,59,114542,1.649,1.787,0,0,13,42.753,125.706,47.362,1,2971,27.83,11.391,22,9,95,42.539,125.982,799.468,25,50150
8,12.96,50.155,127.384,15.445,47.347,129.164,4.798,4.293,5.369,3.074,134.954,0.683,6.014,47.347,0,140.964,3.521,1.747,0.572,0.914,129.873,22.49,118,81,200,50.168,127.483,1683.218,126,105587,48.626,13.974,43,21,92,50.054,127.422,630.216,46,39533,1.56,1.916,0,0,19,50.084,127.365,20.214,1,1268,34.608,11.919,30,13,93,50.095,127.524,448.531,32,28136
9,8.513,54.079,127.536,11.608,52.398,129.164,3.03,3.662,3.865,2.804,103.021,0.794,4.203,52.398,0.126,122.735,2.955,1.378,0.726,0.945,150.29,27.085,145,77,208,54.045,127.599,1279.387,152,80255,49.491,16.255,36,21,100,53.988,127.699,421.303,50,26428,1.243,1.443,0,0,9,54.107,127.568,10.585,1,664,28.536,11.499,27,8,65,53.985,127.705,242.917,27,15238
10,33.477,60.854,125.03,24.689,57.953,129.164,5.682,8.586,9.687,4.4,113.562,0.69,9.788,58.079,0.126,120.203,4.667,2.201,0.454,0.936,156.009,30.778,139,84,253,60.887,124.949,5222.748,151,327619,39.654,12.389,34,15,82,60.925,125.06,1327.499,38,83273,1.245,1.418,0,0,9,60.882,125.069,41.671,1,2614,50.634,23.762,49,8,198,61.062,124.989,1695.095,49,106332
11,17.95,66.399,127.146,17.57,63.509,129.164,5.177,4.798,5.602,4.08,135.868,0.731,6.49,63.509,0,142.907,4.658,1.373,0.728,0.945,142.073,27.719,132,76,245,66.32,127.115,2550.23,137,159974,46.727,14.879,40,18,102,66.517,127.229,838.764,44,52615,1.226,1.379,0,0,9,66.481,127.195,22.015,1,1381,73.547,31.014,39,21,175,66.576,127.251,1320.182,69,82814
12,30.225,82.021,124.811,23.883,80.049,129.164,3.788,9.343,9.823,3.918,91.232,0.666,9.533,80.806,0,101.459,3.788,2.507,0.399,0.963,172.201,21.4,174,95,237,82.013,124.8,5204.813,172,326494,36.199,7.246,34,18,60,81.965,124.917,1094.131,36,68634,1.15,1.406,0,0,8,82.12,124.951,34.768,1,2181,21.217,5.736,21,9,46,82.025,124.913,641.296,21,40228
13,23.833,87.688,127.263,20.914,84.72,129.164,7.197,4.924,7.071,4.291,21.697,0.685,7.883,85.225,4.167,31.908,4.924,1.648,0.607,0.947,145.633,25.646,132,81,233,87.801,127.304,3470.821,141,217722,61.406,19.731,48,21,115,87.548,127.313,1463.464,60,91802,2.078,2.074,0,0,16,87.53,127.237,49.514,2,3106,62.946,25.5,45,14,174,87.485,127.29,1500.178,60,94105
14,35.215,92.078,124.278,26.314,89.139,129.164,5.555,10.227,9.678,4.633,74.069,0.639,10.741,91.286,10.227,72.204,5.314,2.089,0.479,0.935,165.012,28.491,159,74,250,92.089,124.182,5810.862,162,364511,60.171,19.34,41,20,128,91.965,124.351,2118.9,59,132917,2.018,1.976,0,0,18,92.023,124.394,71.067,2,4458,34.97,13.225,32,6,84,91.796,124.16,1231.451,34,77248
15,21.059,105.129,127.276,18.253,102.018,129.164,6.06,4.545,5.837,4.593,175.445,0.794,6.218,102.018,0.126,150.832,4.545,1.271,0.787,0.972,143.982,24.531,143,74,205,105.078,127.343,3032.079,148,190200,57.232,19.606,61,20,114,104.915,127.486,1205.243,57,75604,2.056,1.979,1,0,14,105.041,127.391,43.297,2,2716,37.149,10.666,31,17,76,105.059,127.423,782.315,35,49074
16,4.687,72.304,128.245,8.769,70.579,129.037,3.156,1.894,3.19,1.871,170.302,0.766,3.355,70.579,0.126,160.201,1.894,1.705,0.587,0.951,132.929,24.194,136,70,182,72.298,128.276,623.011,137,39081,37.946,12.079,27,17,69,72.236,128.338,177.844,34,11156,1.143,1.37,0,0,6,72.293,128.292,5.356,1,336,40.602,15.488,25,17,82,72.232,128.371,190.294,39,11937
17,20.565,2.002,126.151,17.7,0,128.911,3.914,5.808,6.216,4.212,99.819,0.825,6.548,0,0.505,123.996,3.914,1.476,0.678,0.98,131.598,27.284,106,64,228,1.999,126.174,2706.266,130,169762,64.381,27.212,31,17,148,1.777,126.424,1323.96,64,83051,1.403,1.806,0,0,15,1.772,126.255,28.854,1,1810,50.957,24.345,41,8,221,1.779,126.298,1047.9,48,65734
18,39.758,77.741,123.843,28.74,74.367,128.911,6.818,10.48,10.985,4.608,107.862,0.605,11.141,76.261,0.379,113.369,5.365,2.384,0.42,0.888,153.077,27.928,154,68,245,77.763,123.79,6086.077,153,381775,48.254,13.175,34,20,93,77.803,123.901,1918.499,47,120346,1.237,1.426,0,0,10,77.78,123.751,49.196,1,3086,28.586,9.647,23,10,77,77.799,123.822,1136.535,27,71294
