 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AC0-DAPI,StdDev+AC0-DAPI,Mode+AC0-DAPI,Min+AC0-DAPI,Max+AC0-DAPI,XM+AC0-DAPI,YM+AC0-DAPI,IntDen+AC0-DAPI,Median+AC0-DAPI,RawIntDen+AC0-DAPI,Mean+AC0-Sox2,StdDev+AC0-Sox2,Mode+AC0-Sox2,Min+AC0-Sox2,Max+AC0-Sox2,XM+AC0-Sox2,YM+AC0-Sox2,IntDen+AC0-Sox2,Median+AC0-Sox2,RawIntDen+AC0-Sox2,Mean+AC0-Klf4,StdDev+AC0-Klf4,Mode+AC0-Klf4,Min+AC0-Klf4,Max+AC0-Klf4,XM+AC0-Klf4,YM+AC0-Klf4,IntDen+AC0-Klf4,Median+AC0-Klf4,RawIntDen+AC0-Klf4,Mean+AC0-Sox9,StdDev+AC0-Sox9,Mode+AC0-Sox9,Min+AC0-Sox9,Max+AC0-Sox9,XM+AC0-Sox9,YM+AC0-Sox9,IntDen+AC0-Sox9,Median+AC0-Sox9,RawIntDen+AC0-Sox9
1,16.867,3.073,126.824,16.899,0.758,129.167,4.167,5.303,5.68,3.781,106.054,0.742,6.304,6,0,122.735,3.924,1.502,0.666,0.934,191.473,42.017,255,71,255,3.095,126.788,3229.541,191,202578,38.067,18.271,20,10,96,3.347,126.965,642.073,35,40275,1.178,3.309,0,0,49,2.788,126.664,19.864,0,1246,70.695,39.019,29,16,222,3.337,126.991,1192.398,64,74795
2,3.268,6.523,128.643,7.846,4.924,129.167,3.157,1.136,3.434,1.212,179.041,0.667,3.246,39,0,166.504,1.136,2.833,0.353,0.967,143.932,36.633,91,75,235,6.523,128.693,470.391,142,29506,20.849,7.106,20,5,42,6.427,128.694,68.137,20,4274,0.332,0.647,0,0,3,6.523,128.678,1.084,0,68,26.268,14.412,16,8,88,6.134,128.631,85.849,22,5385
3,29.015,12.639,126.504,21.363,9.343,129.167,6.566,6.187,6.774,5.454,138.294,0.799,7.415,74,0,132.93,5.796,1.242,0.805,0.957,186.858,36.126,255,67,255,12.629,126.485,5421.659,186,340082,40.791,17.887,20,10,99,12.895,126.72,1183.55,40,74240,1.297,2.307,0,0,32,12.708,126.444,37.64,0,2361,43.211,17.722,28,10,119,12.81,126.655,1253.759,40,78644
4,23.69,24.781,126.062,21.363,21.591,129.167,6.187,6.313,7.735,3.9,49.256,0.652,8.327,177,50,49.304,4.534,1.984,0.504,0.885,81.667,46.17,58,17,196,25.526,126.499,1934.699,65,121357,9.558,7.247,6,0,36,25.644,126.601,226.427,7,14203,0.621,1.719,0,0,21,25.736,126.262,14.715,0,923,13.861,10.849,8,0,78,25.5,126.428,328.362,10,20597
5,15.097,29.351,125.986,17.182,27.904,129.167,2.904,6.692,7.033,2.733,94.956,0.643,6.955,226,0,105.803,2.803,2.573,0.389,0.917,139.761,37.036,122,55,254,29.467,126.089,2110.015,137,132354,20.01,6.419,20,6,46,29.504,125.992,302.089,20,18949,0.709,1.264,0,0,12,29.359,126.201,10.697,0,671,39.765,16.041,38,9,149,29.516,125.771,600.336,39,37657
6,28.537,33.404,126.03,21.967,30.808,129.167,5.05,7.449,7.529,4.826,93.419,0.743,8.042,248,0,112.135,5.051,1.56,0.641,0.96,183.536,41.611,255,59,255,33.436,126.174,5237.478,182,328529,44.337,22.035,20,8,116,33.684,125.985,1265.222,43,79363,0.887,2.243,0,0,38,33.738,125.572,25.3,0,1587,38.377,18.719,31,9,137,33.622,125.911,1095.15,35,68695
7,4.352,58.063,128.54,8.918,56.187,129.167,3.662,1.389,3.874,1.43,177.02,0.688,3.739,445,1,168.311,1.389,2.708,0.369,0.955,143.425,37.892,112,57,248,58.056,128.623,624.217,151,39155,25.524,11.86,20,11,73,58.118,128.658,111.085,21,6968,0.949,1.725,0,0,15,58.068,128.498,4.129,0,259,78.048,49.244,35,17,236,58.083,128.719,339.681,61,21307
8,7.381,62.295,128.073,10.685,60.353,129.167,3.662,2.273,3.772,2.492,171.641,0.812,4.122,478,0,152.65,2.273,1.514,0.661,0.968,104.218,31.582,76,45,171,62.301,128.208,769.259,100,48253,19.896,5.883,20,7,45,62.197,128.148,146.86,19,9212,0.782,1.719,0,0,15,62.382,128.101,5.771,0,362,28.756,15.353,23,9,109,62.157,128.259,212.255,25,13314
9,4.193,66.642,128.498,8.487,64.899,129.167,3.283,1.515,3.391,1.574,176.673,0.732,3.4,514,1,164.932,1.515,2.154,0.464,0.958,155.939,59.122,176,43,255,66.923,128.489,653.822,173,41012,37.529,20.609,20,11,90,66.96,128.598,157.35,29,9870,1.125,1.647,0,0,9,66.495,128.408,4.719,0,296,70.144,47.207,19,10,224,67.08,128.583,294.102,60,18448
10,5.325,69.968,128.243,8.979,68.434,129.167,3.157,2.146,3.128,2.167,1.972,0.83,3.283,543,12,22.62,2.146,1.443,0.693,0.945,197.096,27.883,203,92,255,70.006,128.226,1049.476,200,65830,36.784,13.307,20,16,72,70.05,128.345,195.866,34,12286,0.395,0.801,0,0,6,69.827,128.148,2.104,0,132,26.826,8.458,22,12,64,70.003,128.24,142.842,25,8960
