 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
1,13.12,2.085,127.613,13.851,0,129.167,4.419,3.283,4.772,3.501,12.262,0.859,5.154,0,24,30.964,3.283,1.363,0.734,0.983,74.543,15.665,63,37,123,2.001,127.708,978.039,74,61349,22.86,8.397,13,5,56,1.722,127.634,299.937,22,18814,41.057,21.887,14,4,115,1.559,127.574,538.687,40,33790,21.649,9.082,18,6,74,1.886,127.615,284.042,19,17817
2,31.135,17.842,125.682,22.817,14.899,129.167,5.303,7.449,7.703,5.146,97.87,0.752,7.907,133,0,109.592,5.303,1.497,0.668,0.937,129.513,46.161,255,31,255,17.847,125.785,4032.407,128,252939,37.212,19.1,20,2,109,18.076,125.805,1158.6,35,72675,16.087,9.824,9,0,67,17.947,125.976,500.872,15,31418,34.641,21.017,27,6,171,17.832,126.004,1078.554,29,67654
3,28.026,23.522,125.62,20.519,20.833,129.167,5.934,6.566,6.451,5.532,116.421,0.837,6.835,178,0,115.145,5.783,1.166,0.858,0.949,173.006,44.651,255,70,255,23.401,125.747,4848.744,165,304145,42.371,17.753,34,6,99,23.639,125.791,1187.519,40,74489,14.268,9.617,6,0,55,23.712,125.78,399.878,12,25083,26.502,12.764,18,6,121,23.593,125.717,742.764,23,46591
4,9.262,27.037,127.916,12.933,24.747,129.167,4.293,3.283,3.804,3.1,164.52,0.696,4.392,196,0,161.565,3.283,1.227,0.815,0.914,182.077,50.051,255,51,255,26.827,128.001,1686.479,184,105787,11.46,4.473,9,3,26,26.785,127.821,106.143,11,6658,3.642,2.638,2,0,13,26.978,127.93,33.734,3,2116,23.523,23.43,13,5,150,27.638,127.914,217.882,15,13667
5,4.974,33.962,128.535,10.15,31.818,129.167,4.04,1.515,4.43,1.43,176.519,0.607,4.136,252,1,167.661,1.515,3.099,0.323,0.92,106.824,16.561,106,65,158,33.995,128.536,531.338,107,33329,26.679,6.931,27,9,43,34.08,128.532,132.703,27,8324,48.08,15.64,49,13,89,34.148,128.494,239.149,49,15001,39.349,41.061,25,11,255,34.235,128.493,195.723,28,12277
6,11.335,37.788,127.154,13.211,36.364,129.167,2.904,4.167,4.625,3.12,82.816,0.816,4.903,289,32,55.491,2.904,1.482,0.675,0.979,117.111,41.182,255,39,255,37.88,127.39,1327.444,113,83266,37.619,19.288,20,6,90,37.859,127.488,426.406,35,26747,18.087,12.14,11,0,54,37.904,127.566,205.017,15,12860,31.105,15.118,23,10,107,37.846,127.413,352.578,27,22116
7,1.132,40.453,128.774,4.132,39.773,129.167,1.515,0.884,1.594,0.904,11.019,0.833,1.694,315,6,26.565,0.884,1.764,0.567,0.953,134,24.825,124,90,186,40.414,128.789,151.674,134,9514,23.085,4.939,20,12,36,40.433,128.807,26.129,22,1639,12.465,3.809,10,4,19,40.485,128.779,14.109,13,885,19.324,3.29,18,13,29,40.479,128.787,21.873,19,1372
8,16.915,41.926,126.025,18.659,39.52,129.167,5.051,6.313,7.501,2.871,60.836,0.61,7.73,315,48,51.633,3.142,2.613,0.383,0.914,120.57,34.837,98,49,255,42.016,126.104,2039.407,115,127925,30.352,9.75,27,6,61,42.012,126.199,513.387,30,32203,21.029,12.461,17,0,68,42.026,126.329,355.703,20,22312,27.843,21.055,23,10,255,42.109,126.384,470.949,24,29541
9,5.612,46.019,127.889,10.377,44.444,129.167,3.157,3.03,3.765,1.898,40.41,0.655,4.376,352,24,43.831,2.298,1.984,0.504,0.87,136.116,47.672,114,53,255,46.095,127.818,763.839,124,47913,34.395,13.77,27,14,82,46.157,128.024,193.012,32,12107,4.287,3.41,2,0,21,46.101,127.992,24.057,4,1509,33.986,12.862,27,15,82,46.21,128.009,190.717,30,11963
10,31.215,51.188,126.371,22.343,48.232,129.167,6.439,6.566,7.085,5.61,54.186,0.786,7.907,393,51,51.483,6.233,1.263,0.792,0.962,138.843,45.178,108,38,255,51.164,126.458,4333.954,132,271854,49.392,25.257,27,6,125,51.237,126.344,1541.755,47,96709,13.018,10.72,5,0,73,51.276,126.372,406.367,10,25490,47.062,26.328,29,10,184,51.177,126.267,1469.043,39,92148
